ID	word	translation
477	subtle	нежный утончённый, изысканный неуловимый, тонкий; едва различимый [ 'sʌtl ]
400	mutter	бормотать; говорить тихо, невнятно [ 'mʌtə ]
432	riffraff	подонки общества, отбросы, сброд, чернь [ 'rɪfræf ]
416	plunge	прыжок; погружение нырять; окунаться; погружаться [ plʌnʤ ]
28	breed (bred)	вынашивать (детёнышей) ; высиживать (птенцов) Syn: beget , give birth 2) размножаться, плодиться [brid]
340	enchantment	волшебство, колдовство, магия [ ɪn'ʧɑːntmənt ]
349	freckle	веснушка [ 'frekl ]
80	eyed	раскрытыми глазами
275	accountant	бухгалтер, счетовод [ ə'kauntənt ]
194	shuddered	содрогнулась
90	fling	бросаться, кидаться, ринуться, flinging her arms around - обнимать
243	tie	галстук
277	ambition	цель, предмет желаний; честолюбивый замысел [ æm'bɪʃ(ə)n ]
331	duck	наклониться, нагнуться, пригнуться утка [ dʌk ]
22	blush	румянец; краска стыда, смущения
244	tin	олово
149	pan	сковорода, кастрюля, противень [pæn]
52	craning	вытягивая
123	laugh	смеяться; [ lɑːf ]
500	vault	подвал, погреб помещение для хранения ценностей [ vɔːlt ]
345	faint	слабый, ослабевший; вялый усклый; нечёткий, расплывчатый;[ feɪnt ]
422	put up to	побуждать, подстрекать (кого-л. к чему-л.) []
57	cruel	жестокий; жестокосердный, безжалостный, суровый, беспощадный [ 'kruːəl ], [ kruəl ]
122	lace	шнурок, тесьма
205	snarl	сердито ворчать; брюзжать рычать; огрызаться (о животном) [ snɑːl ]
238	tantrum	вспышка гнева
127	lit up the	подобно тому как
48	complain	жаловаться (на что-л.) , выражать недовольство (чем-л.)
233	swing, swung	качать; раскачивать; размахивать б) качаться, колебаться
175	revolting	отвратительный; отталкивающий, противный [rivǝultiŋ]
392	marble	мрамор мраморное изделие [ 'mɑːbl ]
469	squeak	писк, визг [ skwiːk ]
411	peppermint	мята перечная мятная конфета, мятный леденец [ 'pepəmɪnt ]
143	oddly	странно
17	blame	виноват
300	burst	неожиданно открывать, обнаруживать (что-л.) внезапно появиться [ bɜːst ]
171	reckon	полагать, рассматривать, считать, придерживаться мнения [ 'rek(ə)n ]
334	dumpy	невысокий коренастый человек, подавленный, унылый, печальный,[ 'dʌmpɪ ]
109	hinge	петля (например, дверная) шарнир; крюк решающий момент, поворотный пункт [hinʤ]
39	chimney	труба (дымовая или вытяжная) ; дымоход [ʧimni]
224	stride (strode)	большой шаг; расстояние, преодолеваемое за один шаг [straid]
240	the nerve of him	нерв него
146	overtake	догнать, наверстать; обогнать, 2) обрушиваться, случаться внезапно, застигать врасплох
137	mustache	усы [ mə'stɑːʃ ]
40	clasp	пожимать; обнимать скреплять, застёгивать, пристёгивать, прикреплять [ klɑːsp ]
494	trot	спешить, торопиться идти рысью (о лошади) [ trɔt ]
113	hummed	гудели
115	intently	пристально, внимательно, сосредоточенно [intentli]
98	glistening	блестящий [glis(ǝ)niŋ]
121	knuckle	сустав пальца 2) ножка, голяшка (телячья,..) 3) (knuckles) = brass knuckles кастет [n˄kl]
212	spoil	что-л. испорченное в процессе изготовления или обработки 5) грабёж; мародёрство 6) вынутый грунт; отвал [spɔil]
126	lend	одалживать, давать взаймы
129	lump	глыба, ком; крупный кусок разг. болван, дубина [ lʌmp ]
198	sit	осадить; приструнить
95	gamekeeper	лесник, егерь, охраняющий дичь (от браконьеров) [ 'geɪmˌkiːpə ]
343	eyebrow	бровь [ 'aɪbrau ]
307	cheek	щека наглость, нахальство; дерзость [ ʧiːk ]
83	falter	заикаться, запинаться, мямлить ['fɔːltə ]
288	bloke	малый, парень [ bləuk ]
45	codswallop	абсурд, ерунда [ 'kɔdzˌwɔləp ] сущ.; разг.
309	chewing	жевательный [ 'ʧuːɪŋ ]
317	cram	( cram into) впихивать, втискивать давка, толкотня, толпа [ kræm ]
407	peculiar	специфический; особенный; своеобразный; необычный [ pɪ'kjuːlɪə ]
158	pinched	зажатый между пальцами; прищемлённый, защемлённый [pinʧhed]
112	hug	крепко обнимать, сжимать в объятиях [h˄g]
318	creepy	бросающий в дрожь, вызывающий страх льстящий, пресмыкающийся ползучий; ползающий [ 'kriːpɪ ]
276	amazement	изумление, удивление [ ə'meɪzmənt ]
168	rasping	скрежещущий, резкий (о звуке) скрипучий (о голосе) [ 'rɑːspɪŋ ]
56	crowd	толпа, скопление людей
371	hang on	упорствовать ждать (обычно у телефона) []
415	pile	куча, груда, штабель; столбик (монет), нагружать; наваливать, заваливать; нагромождать [ paɪl ]
431	rid	освобождать, избавлять [ rɪd ]
234	swish	свист (хлыста) ; взмах со свистом (косы) ; всплеск 2) шелест, шуршание; шипение [swiʃ]
87	fierce	жестокий, лютый, свирепый [ fɪəs ]
296	bump	ударяться; врезаться, наталкиваться глухой тяжёлый удар; столкновение изгиб, выпуклость; выпуклая вмятина, вздутие [ bʌmp ]
226	struck	пораженный
376	hoot	крик совы [ huːt ]
195	shuffled away	уйти, шаркая ногами (откладывать в сторону; засовывать, запихивать) [ʃ˄fl]
323	dearly	по дорогой цене, дорого [ 'dɪəlɪ ]
85	fear	страх
464	sneer	насмешка, колкость; презрительная усмешка [ snɪə ]
490	tiptoe	кончики пальцев ног, цыпочки [ 'tɪptəu ]
319	crikey	боже мой!, ну надо же! (выражает удивление) [ 'kraɪkɪ ]
468	spleen	селезёнка [ spliːn ]
441	rub shoulders with	общаться с (кем-л.)
512	whistle	свистеть [ '(h)wɪsl ]
496	tut-tut	вот ещё!, ещё чего не хватало! (выражает упрёк, неодобрение) [ ˌtʌt'tʌt ]
293	brew	варить (пиво) смешивать; приготовлятьадвигаться, назревать, приближаться [ bruː ]
132	mantelpiece	облицовка камина; каминная доска 2) каминная полка [mænt[ǝ]pis]
259	vigorously	решительно, сильно, энергично [vig(ǝ)rǝsli]
68	dratted	проклятый [ 'drætɪd ]
210	speare	пронзать, протыкать (копьём или чем-л., похожим на копьё) [ spɪə ]
14	beefy	мускулистый
404	out of bounds	запрещённый для посещения недоступный []
409	pellet	шарик, катышек (из бумаги, хлеба) [ 'pelɪt ]
328	drench	промокать насквозь орошать, смачивать заставлять пить [ drenʧ ]
421	prophet	предсказатель пророк [ 'prɔfɪt ]
444	rummaging	поиск; тщательный осмотр, досмотр (обычно таможенный) [ 'rʌmɪʤɪŋ ]
188	shaggy	косматый, лохматый; волосатый
215	stamp out	разг. искоренять (что-л.) , положить конец (чему-л.) [ stæmp ]
420	pouring	наливание, разливание [ 'pɔː(r)ɪŋ ]
66	doughnut	пончик [dǝun˄t]
366	grubby	грязный, неряшливый, неопрятный [ 'grʌbɪ ]
62	defeat	одержать победу (над кем-л.) , наносить поражение (кому-л.)[ dɪ'fiːt ]
217	steadily	монотонно 2) неизменно 3) неуклонно 4) постоянно
408	peer	вглядываться; изучать [ pɪə ]
449	scowlingly	хмуро, нахмурившись; сердито [ 'skaulɪŋlɪ ]
501	wail	причитать, стенать; оплакивать [ weɪl ]
54	crinkle	излучина, извилина, изгиб мяться, сморщиваться [ 'krɪŋkl ]
297	bundle	узел, связка; пачка; вязанка; пучок [ 'bʌndl ]
324	delight	радовать, восхищать; доставлять большое удовольствие [ dɪ'laɪt ]
105	handkerchief	носовой платок [hӕŋkəʧif]
200	slinking	красться, идти крадучись [sliɧk]
99	glumly	угрюмо, хмуро, мрачно
67	downpour	ливень [daunpᴐ:]
423	quilt	мозаика, пёстрая смесь лоскутное одеяло [ kwɪlt ]
53	creep (crept)	ползать; пресмыкаться,красться; подкрадываться [krip]
164	quill	крупное птичье перо [ kwɪl ]
69	draw	вдыхать, втягивать (воздух) рисовать; чертить ...
390	leg up (to)	крепить, подкреплять подпорками (яхту в сухом доке) []
507	weighing	взвешивание [ 'weɪɪŋ ]
336	dungeon	главная башня подземная тюрьма; темница; склеп [ 'dʌnʤ(ə)n ]
452	scribble	писать быстро и небрежно марать бумагу, пописывать [ 'skrɪbl ]
378	humbug	мятная конфета чушь, вздор, ерунда, нелепица (часто с восклицанием) [ 'hʌmbʌg ]
71	driveway	подъездная дорога; подъездной путь
374	hide	кожа, шкура (животного) укрытие; тайник, убежище прятаться, скрываться [ haɪd ]
183	scrawny	костлявый, тощий, сухопарый, [skrᴐni]
495	troublesome	причиняющий беспокойство; трудный; беспокойный [ 'trʌblsəm ]
453	scruff	загривок; затылок, задняя часть шеи [ skrʌf ]
289	blurt	выпалить; выдавать, проговариваться [ blɜːt ]
133	moan	1) стонать Syn: groan 2. 2) оплакивать, жаловаться [mǝun]
287	blimey	чтоб мне провалиться!, иди ты! [ 'blaɪmɪ ]
150	passersby	прохожий [ ˌpɑːsə'baɪ ]
114	icing	сахарная глазурь [ 'aɪsɪŋ ]
417	pointy	заострённый, остроконечный, острый [ 'pɔɪntɪ ]
450	scrabble	взбираться, карабкаться; цепляться писать неразборчиво [ 'skræbl ]
208	sob	рыдать; всхлипывать
362	glove	перчатка [ glʌv ]
196	sign	знак
145	outrage	возмутительный случай, поступок возмущение, гнев, негодование [ 'autreɪʤ ]
440	rub out	убивать, ликвидировать
451	scramble	быстро взлетать, подниматься в воздух по тревоге (об истребителях) [ 'skræmbl ]
0	admiring	восторгаться, любоваться, рассматривать с восхищением;
360	gleam	проблеск, вспышка светиться; мерцать; испускать, излучать[ gliːm ]
211	split	раскола
384	lap	колени подол; пола, фалда [ læp ]
462	sneak	красться, подкрадываться; подлец; подхалим, вор, [ sniːk ]
138	nasty	отвратительный, отталкивающий; мерзкий, противный
236	syllable	слог звук, слово [ 'sɪləbl ]
72	drove	поехал
160	poker	кочерга [ 'pəukə ]
204	snapped	говорить резко, отрывисто; выкрикивать
460	show up	появляться, приходить показывать, обнаруживать []
27	brass	латунь, жёлтая медь [brɑ:s]
106	He was a sad screwed up guy	Он был нервным типом с печальной мордой
249	trash	1) хлам, отбросы; мусор; макулатура
278	archway	проход под аркой; сводчатый проход [ 'ɑːʧweɪ ]
391	lurk	скрываться в засаде; прятаться красться, подкрадываться обман; уловка, хитрость [ lɜːk ]
23	bonnet	дамская шляпа (без полей) ; капор 2) детский чепчик 3) мужская шотландская шапочка [bᴐnit]
42	cloaks	плащи
312	coal	(каменный) уголь [ kəul ]
33	bunch	связка
433	ring (rang)	раздаваться, слышаться, доноситься кольцо окружать, [ rɪŋ ][ ræŋ ]
385	laughter	смех, хохот [ 'lɑːftə ]
156	picked out	выбранный
157	piercing	пронизывающий, прокалывающий
306	chatter	щебетать; стрекотать (о птицах) дребезжать стучать зубами (от холода) [ 'ʧætə ]
291	bow	кланяться [ bau ]
396	mess	производить беспорядок портить, проваливать [ mes ]
424	quiver	дрожать мелкой дрожью; трястись; колыхаться; трепетать [ 'kwɪvə ]
142	nonsense	ерунда
104	grunt	проворчал [gr˄nt]
263	whine	жаловаться, плакаться; ныть [wain]
379	hurtle	громыхать, грохотать; греметь; дребезжать; громко стучать [ 'hɜːtl ]
435	rot	гниль, труха полоса неудач, портиться, разлагаться [ rɔt ]
436	rub along	ладить, уживаться продвигаться, пробираться с трудом кое-как перебиваться
260	warty	покрытый бородавками, бородавчатый [ 'wɔːtɪ ]
107	hedges	(живая) изгородь; ограда
406	patchwork quilt	лоскутное одеяло [ 'pæʧwɜːk ] [ kwɪlt ]
383	lane	узкая дорога, тропинка, [ leɪn ]
513	wicked	озорной, хулиганский злой, злобный; безнравственный [ 'wɪkɪd ]
270	wounded	раненый [wu:ndid]
356	garlic	чеснок [ 'gɑːlɪk ]
218	stern	строгий, суровый, безжалостный
102	groan	стон скрип (двери, мебели) ; треск (рассохшегося дерева) [ grəun ]
503	walnut	бот. грецкий орех красновато-коричневый цвет [ 'wɔːlnʌt ]
332	dud	недействительный, поддельный [ dʌd ]
209	spawn	икра (рыб, земноводных) [ spɔːn ]
162	prune	разг. неприятный, глупый человек, простофиля чернослив [ pruːn ]
308	cheer up	подбадривать; приободряться [ ʧɪə ]
465	sniffy	презрительный, пренебрежительный; высокомерный; [ 'snɪfɪ ]
295	bulging	разбухший; набухающий; вздувающийся; выпуклый ** eyes — глаза навыкате [ 'bʌlʤɪŋ ]
401	needle	игла, иголка [ 'niːdl ]
73	dull	скучно,
25	boredom	скука, тоска [bᴐ:dǝm]
144	open-mouthed	с открытым ртом
36	caught	the past tense and past participle of catch [kɔ:t]
322	curl	кривить, искривлять [ kɜːl ]
341	ensnare	поймать в ловушку заманивать [ ɪn'sneə ], [ en- ]
241	thought	мысль
64	dinky	маленький, малозначительный, пустяковый, премиленький, изящный [diŋki]
153	peculiar-a	своеобразный-
347	farther	отдалённый, удалённый [ 'fɑːðə ]
499	untidy	неопрятный, неаккуратный, неряшливый [ ʌn'taɪdɪ ]
410	pelt	бросать (в кого-л.) ; забрасывать (камнями, грязью) ; обстреливать [ pelt ]
117	jab	а) пихать, толкать Syn: push б) наносить удар [dƷæb]
321	cure	лекарство, средство излечения лечение, курс лечения [ kjuə ]
299	burnish	полировка, полирование шлифовать, полировать [ 'bɜːnɪʃ ]
358	get rid of	отделываться; избавляться [ rɪd ]
448	scarlet	алый, ярко-красный; пурпурный [ 'skɑːlət ]
6	bang	чёлка, подстригать волосы чёлкой [bæŋ]
176	ripping	рвущий, разрывающий, разрезающий
487	throw out	выставить, выпрямить, протянуть (ногу, руку)
290	boil	нарыв, фурункул, чирей кипятить кипеть [ bɔɪl ]
89	flinch	вздрагивать (от боли, испуга) ; передёрнуться (от отвращения)
63	deny	отрицать; отвергать; не признавать существование (чего-л.) [ dɪ'naɪ ]
246	tosh	абсурд, вздор, ерунда [ tɔʃ ]
455	shabby	поношенный; потрёпанный, потёртый (о вещах) [ 'ʃæbɪ ]
111	howl	выть, завывать, стонать (о ветре) [haul]
361	glory	известность, популярность, слава блаженство, счастье [ 'glɔːrɪ ]
486	thief (thieves)	вор, похититель thieves' kitchen воровской притон, "малина" [ θiːf ][ 'θiːvz ]
442	rude	грубый, оскорбительный, невежливый [ ruːd ]
193	shrill voice	пронзительный, резкий; визгливый; высокий (о голосе, звуке) [ʃril]
352	funeral	погребальный, похоронный, траурный [ 'fjuːn(ə)rəl ]
480	sweeping	широкий; с большим охватом подметание, уборка [ 'swiːpɪŋ ]
353	fungus ( мн.fungi)	гриб; плесень; древесная губка [ 'fʌŋgəs ][ 'fʌŋgaɪ ],[ 'fʌnʤaɪ ],[ ʤiː ]
49	confection	1) производство, изготовление кондитерских изделий 2) конфеты, сладости
438	rub it in	ткнуть кого-л. носом во что-л., повторять одно и то же
230	swarming	толпиться
267	wiping	вытирать, протирать, утирать
454	seep	просачиваться; проникать, протекать [ siːp ]
120	knocked	постучал
77	every odd	каждый, всякий странность, нечто странное
70	dread	ужас, благоговейный страх, трепет человек или предмет, внушающий ужас [ dred ]
38	chase	гнаться, преследовать; догонять [ ʧeɪs ]
65	dormouse мн. dormice	соня [ 'dɔːmaus ]
269	worth	цена, стоимость, (денежная) сумма [wǝ:Ө]
427	ravine	ущелье; лощина, овраг, ложбина; дефиле [ rə'viːn ]
235	swooping	парящий
19	blew	веять, дуть (о ветре) [bləu]
355	galoshes	галоши мн [ gə'lɔʃ ]
81	fade	постепенно исчезать, расплываться, растворяться вянуть,выгорать, выцветать, блёкнуть, тускнеть [ feɪd ]
108	heel	пятка, пята (часть ноги) [hil]
154	peered down	бросить взгляд
474	stitch	стежок; строчка, шов [ stɪʧ ]
189	shear	стричь; обрезать [ʃiǝ]
197	silly	глупый
373	heed	обращать внимание, учитывать, принимать во внимание; внимательно следить (за чем-л.) [ hiːd ]
382	knitting	вязание трикотаж; вещи, связанные крючком или на спицах мед. срастание (костей) [ 'nɪtɪŋ ]
515	wrinkle	морщиться; мяться, сминаться [ 'rɪŋkl ]
425	raisin	изюминка тёмный красно-коричневый цвет [ 'reɪz(ə)n ]
155	persuade	убеждать (в чём-л.) ; урезонивать; пенять [ pə'sweɪd ]
26	bowed	гнуть, сгибать; наклонять
273	wristwatch	наручные часы [ristwoʧ]
311	claw	коготь [ klɔː ]
271	wrestled	боролся
310	clap	хлопать; аплодировать [ klæp ]
131	mane	грива [mein]
32	bun	булочка, пучек, кичка
258	vast	обширный, громадный; безбрежный, пространный
478	suck	всасывать, засасывать [ sʌk ]
344	fabulous	сказочный, мифический; известный из сказок, легенд [ 'fæbjələs ]
9	battered	изношенный, обветшалый, потёртый, потрёпанный; мятый [ 'bætəd ]
514	wormwood	полынь горькая [ 'wɜːmwud ]
214	stammer	заикаться, говорить заикаясь [ 'stæmə ]
443	rug	ковёр, коврик тянуть с силой; дёргать [ rʌg ]
397	mess about = mess around	лодырничать, слоняться без дела, дурачиться, валять ваньку [ mes ]
330	drool	пускать слюну течь, сочиться (о слюне) восхищаться плевок [ druːl ]
268	wolfing down	за секунду съел ...
476	stunned	ошеломлённый, потрясённый [ 'stʌnd ]
20	blinked	моргнула
338	either	также, тоже (в отрицательных предложениях) [ 'aɪðə ]
30	budge	шевелиться, двигаться, перемещаться (чаще в отрицательных предложениях) [ bʌʤ ]
418	porcupine quill	игла дикобраза [ 'pɔːkjəpaɪn ] [ kwɪl ]
282	barn	амбар; (сенной) сара [ bɑːn ]
354	furniture	мебель, обстановка [ 'fɜːnɪʧə ]
367	ham	ветчина, окорок [ hæm ]
8	bark	лаять, рявкать [bɑ:k]
351	fume	резкий, сильный запах, аромат дым, газы, испарение [ fjuːm ]
141	newscaster	диктор
185	scuttle	поспешно бежать, удирать [ 'skʌtl ]
201	slug	слизень, слизняк бездельник, тунеядец, лентяй пуля кусок металла [ slʌg ]
252	tuck	засовывать, прятать, подбирать под себя, подсовывать
152	pecked	клюнул
46	coil	1) виток, кольцо (верёвки, каната, змеи) [kɔil]
119	knickerbocker glory	десерт из мороженого, фруктов, желе и сливок (подается в высоком узком стакане)
483	tapestry	затканная от руки материя; гобелен [ 'tæpɪstrɪ ]
467	spill	проливать, разливать, расплёскивать [ spɪl ]
96	gazed	смотрели [geiz]
261	wash	мыть; отмывать, смывать, промывать
254	tyke	1) дворняжка 2) грубиян, хам Syn: boor 3) малыш (о ребёнке, маленьком животном) 4) = Yorkshire tyke прозвище йоркширца 5) ; католик
377	horned	рогатый в форме полумесяца, серповидный [ hɔːn ]
78	exasperated	сердитый, раздражённый; разгневанный
92	flutter	вспорхнуть, развеваться трепетание
458	shimmering	мерцающий [ 'ʃɪm(ə)rɪŋ ]
29	briefcase,	портфель,
232	swig	большой глоток (спиртного) [ swɪg ]
510	whisk off	быстро исчезнуть; юркнуть быстрое движение; взмах [ (h)wɪsk ]
302	carelessly	неосторожно, беспечно, легкомысленно халатно, невнимательно, кое-как [ 'keələslɪ ]
128	look after	to take care of; be responsible for
134	mood	настроение; расположение духа [mu:d]
24	boom	рокотать, громыхать (о выстрелах, колоколе, волнах) ; производить громкий глухой шум
511	whisker	усы [ '(h)wɪskə ]
222	stooping	сутулый [stu:piŋ]
280	babble	бормотание лепет болтовня [ 'bæbl ]
329	dried	высушенный; засохший; сухой; сушёный [ draɪd ]
59	damp	влажный, сырой; запотевший [ dæmp ]
505	wave	махать, размахивать в разные стороны (обычно угрожающе) [ weɪv ]
163	quail	трусить, пасовать, дрожать от страха, падать духом [ kweɪl ]
459	shot	выстрел [ ʃɔt ]
55	crouch	припадать к земле; согнуться, сжаться [ krauʧ ]
216	stare	уставился, смотрел
413	pheasant	фазан [ 'fez(ə)nt ]
479	swarthy	смуглый; тёмный [ 'swɔːðɪ ]
82	faintly	бледно; слабо; едва, еле-еле
192	shriek	пронзительно кричать, орать; визжать громко, истерически хохотать [ ʃriːk ]
206	snigger	хихикать, посмеиваться; давиться от смеха [snigǝ]
333	dumbfound	ошарашить, ошеломить, потрясти, [ dʌm'faund ]
472	stew	тушиться, томиться (на огне) [ stjuː ]
508	wheeze	тяжёлое дыхание, одышка, сопение, хрип [ (h)wiːz ]
257	unstick	отдирать, отклеивать
456	shapeless	бесформенный [ 'ʃeɪpləs ]
74	eagerly	горячо, пылко, страстно [ 'iːgəlɪ ]
118	jerked	резко
184	screech	визжать или кричать пронзительным голосом 2) скрипеть, визжать, скрежетать [skriʧ]
225	stroked	погладил
305	cauldron	бак, котёл; котелок [ 'kɔːldr(ə)n ]
18	blazing	ярко горящий, пламенеющий, пылающий [ 'bleɪzɪŋ ]
34	cabbage	(кочанная) капуста
265	whistling	свистящий (о звуке) [ '(h)wɪslɪŋ ]
315	conk	дать в нос, по голове; шарахнуть нос голова [ kɔŋk ]
414	phial	пузырёк, склянка; бутылочка [ 'faɪəl ]
21	blow up	to explode or cause to explode 2) () to increase the importance of (something)
304	cart	повозка; подвода; телега [ kɑːt ]
375	hiss	шипеть, говорить сдавленным голосом, громко или сердито шептать [ hɪs ]
1	anxious	озабоченный, беспокоящийся [ 'æŋ(k)ʃəs ]
320	crush	дробление, раздавливание [ krʌʃ ]
248	traffic jam	пробка
492	tottering	шатающийся, разрушающийся [ 'tɔt(ə)rɪŋ ]
274	yelled	заорал
365	greed	жадность, скупость [ griːd ]
177	roar	реветь, орать; рычать [ro]
186	seized	схватил
148	pale	бледный [ peɪl ]
313	cobble	мостить, выстилать (булыжником) [ 'kɔbl ]
314	collar	ошейник воротник; ожерелье шейный платок [ 'kɔlə ]
463	sneakers	кроссовки [ 'sniːkəz ]
363	goat	козёл; коза [ gəut ]
398	moldy	(mouldy) заплесневелый, покрытый плесенью [ 'məuldɪ ][ 'məuldɪ ]
481	swelling	переполнение , разбухание, опухание [ 'swelɪŋ ]
125	leather	кожа (выделанная) [leӨɘ]
47	comb	чесать; расчёсывать; чистить скребницей [kǝum]
255	underneath	внизу; ниже
509	whimper	хныкать, ныть [ '(h)wɪmpə ]
247	toward	к
430	rickety	неустойчивый, шаткий рахитичный [ 'rɪkətɪ ]
219	sticky	клейкий, липкий; вязкий; тягучий [ 'stɪkɪ ]
253	tuft	пучок (перьев, травы, волос и т. д.) , хохолок
437	rub in	вбивать в голову, вдалбливать
50	count on	рассчитывать, полагаться
405	pant	задыхаться, часто и тяжело дышать, бежать или идти часто и тяжело дыша [ pænt ]
298	bungler	плохой работник, "сапожник"; растяпа [ 'bʌŋglə ]
470	steep	крутой [ stiːp ]
91	flooded	затопленный
402	nettle	крапива [ 'netl ]
76	enraged	разъяренный
488	throwing	метание с (javelin throwing — спорт метание копья) []
387	lean	прислоняться, опираться наклоняться; склоняться [ liːn ]
388	leap	прыжок, скачок, омеха, преграда, препятствие [ liːp ]
412	pewter	сплав олова со свинцом; сплав на оловянной основе [ 'pjuːtə ]
471	steer	( steer into) направлять в какое-л. русло, руководить [ stɪə ]
174	relieved	облегчать, ослаблять, уменьшать, помогать, выручать; помогать в бедности, давать денег
187	sensible	благоразумный, здравомыслящий; здравый
286	billowy	колышущийся; клубящийся (о дыме, пламени) вздымающийся (о волнах) ; встающий; поднимающийся,[ 'bɪləuɪ ]
399	monkshood	аконит, борец []
101	grin	скалить зубы; осклабиться; ухмыляться
389	ledger	главная книга, гроссбух [ 'leʤə ]
221	stood rooted to the spot	замер на месте
161	prod	тычок; толчок (чем-л. заострённым) [prɔd]
229	swallow	глотать, проглатывать [swɔlǝu]
498	twitch	дёргаться, подёргиваться; конвульсивно сокращаться [ twɪʧ ]
466	spat	разг = spit out говорить (что-л.) со злостью, яростно (по)хлопать, (по)шлёпать плевать [ spæt ][ spɪt ]
170	reach out	тянуться
497	twisted	извилистый; спиральный волнообразный, волнистый [ 'twɪstɪd ]
5	baggy	мешкообразный; мешковатый [bægi]
251	tremble	дрожать; трястись; вибрировать
473	sting	(stung) жалить; жечь; кусаться жало [ stɪŋ ]
426	rattling	грохочущий, шумный разг. восхитительный, замечательный [ 'rætlɪŋ ]
357	gathering	сборка; комплектование, накопление [ 'gæð(ə)rɪŋ ]
294	buckle	гнуться, изгибаться; сгибаться [ 'bʌkl ]
386	lead	свинец [ led ]
419	porridge	(овсяная) каша [ 'pɔrɪʤ ]
446	sallow	желтоватый, болезненный, землистый (о цвете лица) [ 'sæləu ]
79	excitedly	возбужденно
326	dimpled	ямочками; покрытый ямочками, [ 'dɪmpl ]
434	robe	мантия [ rəub ]
199	sleeve	рукав
165	rage	ярость, гнев, бешенство; приступ сильного гнева [ reɪʤ ]
281	barely	едва, еле-еле, с трудом [ 'beəlɪ ]
339	emporium	большой магазин, универмаг [ em'pɔːrɪəm ]
372	hanging	драпировки, портьеры; гардины висящий, свисающий смертная казнь через повешение [ 'hæŋɪŋ ]
60	dashed	бросился
213	squeaky	скрипучий
11	beak	клюв [ biːk ]
429	reveal	обнаруживать, показывать открывать; разоблачать [ rɪ'viːl ]
58	dab	лёгкое прикосновение, касание, похлопывание
147	owl	сова
75	emerald green cloack	изумрудно-зеленый плащ
327	dream up	выдумывать, фантазировать; придумывать
